Blog	four	looking	second	here	k	music	until	example	want	travel	feature	wrong	fix	easier	series	wasn	service	needed	project	release	best	country	asked	chrome	much	life	worked	things	had	easy	possible	right	old	continue	dollars	support	call	happy	inside	leave	team	along	love	working	awesome	such	years	course	didn	internet	million	quite	city	future	san	say	saw	note	take	ways	slow	going	sites	jobs	screen	many	photos	single	technology	being	around	world	power	favorite	image	her	complete	age	am	having	original	tv	th	large	small	past	hours	social	action	via	company	science	states	huge	its	always	found	really	self	also	play	sometimes	set	see	last	whole	read	recent	person	behind	couple	d	anything	into	link	line	posted	us	ago	results	try	video	let	great	makes	tools	next	process	high	move	doing	could	david	system	haven	fact	bring	should	hope	means	following	stuff	edition	email	co	android	off	less	web	five	become	places	problem	chance	worth	above	told	word	work	interview	after	order	office	then	them	network	another	john	do	away	terms	com	air	hand	photo	thanks	board	night	comments	post	months	way	war	update	together	cost	change	live	car	heart	write	product	goal	remember	still	now	year	space	shows	care	couldn	yourself	friend	than	browser	online	price	only	between	article	comes	these	media	thinking	real	early	amp	business	start	lot	trying	building	since	month	very	family	ask	finally	almost	site	history	help	soon	actually	beyond	event	put	american	mobile	latest	pretty	during	x	close	won	probably	both	else	look	while	guide	ready	used	user	game	step	computer	doesn	happens	youtube	go	does	facebook	started	control	links	software	including	him	hands	times	data	exactly	need	able	sent	based	she	state	key	party	well	page	twitter	home	he	piece	star	friends	using	companies	likely	even	ever	never	room	give	answer	before	personal	better	weeks	went	side	open	content	isn	features	matter	mind	seen	seem	don	m	stop	bad	decided	said	against	appeared	three	make	left	yet	down	weekend	daily	show	did	run	visit	making	sunday	may	designed	maybe	talk	nbsp	group	interesting	thing	think	long	little	anyone	were	especially	black	get	nearly	morning	enough	reading	across	according	among	mark	those	different	pay	same	running	money	either	images	broken	e	videos	again	important	u	starting	public	search	two	share	needs	coming	through	someone	button	everyone	house	hard	idea	done	least	part	built	click	build	tool	most	services	find	please	point	simple	simply	create	secret	understand	fun	itself	spend	cup	big	bit	google	often	back	per	forward	entire	others	named	ll	day	text	national	taking	value	ios	thought	add	works	students	actual	buy	minutes	under	every	school	changes	would	phone	must	me	join	keep	end	over	writing	each	saturday	driving	got	free	days	where	already	top	too	took	talking	though	watch	amazon	report	full	however	news	experience	several	gave	everything	head	check	no	longer	water	today	information	platform	name	turn	place	given	white	released	any	sure	later	written	outside	come	case	myself	good	html	events	week	without	model	seems	blog	oh	there	follow	program	far	list	design	version	known	v	rather	short	might	number	man	friday	feel	story	store	kind	added	nothing	windows	his	hit	wrote	art	recently	attention	reasons	question	fast	called	nice	users	helping	once	issues	apple	app	use	few	women	getting	something	united	six	instead	looks	our	york	their	which	who	why	local	view	available	job	april	gets	half	other	know	press	because	says	own	apps	made	whether	book	june
456 Berea Street	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	2	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	1	1	1	0	2	0	0	0	0	0	0	1	1	0	1	0	0	7	4	0	0	0	1	0	0	0	0	18	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	8	3	1	3	0	1	0	4	3	4	1	0	10	1	0	1	2	4	0	1	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	6	0	0	0	6	0	1	1	0	0	2	0	3	1	0	1	3	0	1	0	6	0	0	0	0	0	0	0	0	0	3	3	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	1	0	0	1	3	0	1	0	0	0	0	0	1	1	0	4	0	1	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	6	2	0	0	4	0	0	0	0	1	2	0	1	0	0	2	0	1	0	1	0	0	1	5	0	5	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	8	0	1	4	2	1	0	1	1	2	0	0	0	0	0	0	3	4	1	1	0	1	0	1	0	1	0	0	0	1	0	1	5	0	0	4	0	0	1	0	0	0	3	0	5	0	1	1	0	0	0	0	3	1	0	1	3	0	0	1	0	0	1	0	0	1	0	0	1	7	0	2	0	0	3	3	0	0	0	0	1	0	0	0	0	2	1	2	0	1	0	10	0	0	0	0	1	3	2	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	5	0	2	1	0	0	2	0	0	0	0	10	0	0	2	0	4	2	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	3	0	2	0	0	0	0	1	1	1	2	3	0	0	1	0	0	2	12	3	1	0	1	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	5	2	0	0	0	1	1	0	2	4	0	0	0	0	0	0	0	7	0	0	0	1	4	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	1	0	1	0	0	1	2	0	0	0	3	3	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0
Signal vs. Noise	0	2	2	3	0	0	2	5	6	0	9	0	2	6	2	2	1	0	2	2	8	0	1	0	14	3	4	7	14	3	0	3	2	1	0	1	1	1	1	2	6	1	4	1	0	1	6	0	3	0	0	0	0	1	0	2	0	2	10	1	3	14	1	0	2	7	0	2	3	1	4	2	1	2	0	1	0	0	1	2	1	0	0	0	1	1	1	0	0	1	4	0	0	1	1	3	1	6	0	4	0	0	1	0	3	0	0	0	2	2	1	7	4	4	0	3	0	6	3	0	2	3	4	10	6	5	5	0	1	3	1	6	1	3	0	1	0	3	2	4	0	5	0	0	1	9	4	4	12	1	2	0	0	1	5	0	1	0	14	0	3	0	2	8	4	0	6	0	17	1	0	1	1	2	1	0	0	0	0	0	3	6	0	0	0	0	1	0	0	2	1	2	0	2	2	4	5	0	0	1	0	2	0	7	0	0	1	4	3	1	2	7	0	2	0	2	0	2	1	5	3	3	2	0	3	0	1	0	2	9	0	2	1	3	0	1	2	0	16	1	1	0	0	0	1	1	0	3	3	3	0	0	2	0	1	1	1	2	1	0	5	1	1	3	0	1	3	1	3	0	3	3	1	6	4	0	7	0	2	1	0	11	4	0	0	17	1	2	0	3	1	1	13	4	1	1	2	1	3	3	4	5	1	5	0	2	3	3	2	2	0	3	8	21	0	0	1	1	0	0	0	15	4	5	7	0	0	1	9	2	0	7	0	1	0	3	0	0	0	2	5	8	1	3	1	7	1	0	10	0	0	6	0	1	0	0	0	7	4	0	2	1	1	3	0	3	1	0	8	1	0	0	0	0	3	3	0	0	5	3	0	4	0	8	4	4	4	2	2	0	2	0	5	0	4	2	3	7	4	0	0	0	1	1	2	0	2	2	0	2	2	0	2	1	1	1	5	2	2	0	1	1	2	1	3	1	0	0	0	1	1	10	0	1	5	0	0	5	0	1	2	8	1	0	0	1	1	2	1	9	3	0	3	1	2	2	0	0	0	2	0	0	4	2	1	4	0	0	4	1	1	5	2	2	0	4	2	1	0	0	3	6	0	2	1	1	3	0	6	20	0	0	2	5	2	1	0	12	2	0	3	0	4	8	1	1	3	2	9	0	0	0	3	2	1	1	0	1	0	8	4	2	3	3	0	1	0	1	1	1	4	1	1	0	1	23	3	3	0	1	5	0	1	1	0	18	0	10	9	5	5	0	1	1	1	0	1	2	2	1	0	15	0	0	4	5	4	0	0
Joel on Software	2	0	1	4	0	0	3	4	18	0	14	0	3	2	1	1	0	2	4	1	0	0	1	0	7	1	0	20	6	4	3	4	2	2	1	1	4	3	2	1	7	0	1	3	2	1	5	1	5	2	4	3	1	1	1	3	0	0	3	1	1	7	0	7	0	7	0	3	1	5	7	4	1	0	3	0	2	0	2	1	1	0	2	3	3	0	3	2	1	0	1	0	0	2	1	2	5	14	0	5	0	4	1	8	1	2	5	0	1	0	1	2	2	8	0	4	2	8	0	0	2	0	4	27	8	5	5	13	0	3	3	7	0	11	1	5	0	10	1	2	0	5	0	2	0	0	5	2	3	2	0	1	1	0	3	0	0	2	12	0	2	1	3	7	15	3	0	0	19	1	2	0	0	0	0	0	11	0	0	2	7	12	2	1	3	2	2	1	3	1	2	11	0	0	3	7	5	0	0	2	0	2	1	16	0	1	0	3	3	0	1	7	0	2	2	0	1	8	7	13	6	0	4	3	8	0	14	1	2	1	0	5	0	10	0	1	2	0	0	0	3	1	1	1	1	2	6	4	6	8	0	1	6	3	0	5	0	9	1	0	9	3	0	1	8	0	40	0	1	1	1	1	2	10	2	1	1	0	0	0	0	3	1	0	1	2	0	0	1	15	7	3	13	2	9	0	2	4	5	0	6	1	2	3	9	0	1	13	1	0	2	1	15	2	4	5	3	1	0	0	6	15	1	1	5	0	0	0	2	1	7	3	0	7	1	3	1	7	0	2	7	7	5	7	2	7	1	0	24	2	0	1	1	0	0	0	0	7	8	11	3	1	13	4	0	0	0	0	0	1	0	4	3	6	10	0	2	1	3	1	1	4	0	5	4	2	0	2	2	2	4	1	11	0	10	0	5	2	1	0	0	3	0	2	2	0	7	7	3	2	3	1	0	0	1	0	6	10	0	0	0	6	0	5	7	3	0	1	3	4	1	18	1	2	5	1	1	6	0	3	2	6	4	2	0	0	6	10	3	8	5	0	8	1	1	2	1	1	1	2	0	1	1	2	0	9	0	1	4	0	2	7	0	0	0	0	0	1	1	0	14	6	1	2	0	4	2	1	3	0	0	1	5	2	0	2	0	18	1	1	0	5	2	10	0	0	1	3	13	4	0	0	4	2	1	8	3	0	5	1	1	1	16	1	0	0	2	3	8	1	5	0	1	0	1	3	10	6	0	6	6	0	3	0	1	5	0	14	20	8	6	0	2	3	15	1	1	0	8	5	0	12	0	2	0	3	1	1	0
Boing Boing	1	0	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	2	6	0	0	3	2	0	0	1	0	2	2	0	0	1	0	1	0	1	5	0	1	1	0	0	0	0	0	2	1	0	0	0	2	1	0	0	2	0	2	0	1	0	0	5	1	0	2	0	0	0	2	0	0	1	0	0	0	0	0	3	0	5	0	7	1	0	2	1	2	1	0	1	1	0	2	1	2	0	26	0	2	0	0	6	0	2	1	0	0	3	2	0	0	5	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	2	1	0	0	0	1	2	2	0	2	0	2	2	1	0	3	1	0	2	0	0	0	1	2	0	0	2	0	1	2	0	1	1	0	0	0	2	0	0	0	0	0	0	1	3	0	0	0	2	2	1	0	0	1	0	2	0	0	1	3	4	2	1	0	0	1	1	0	0	0	1	2	1	0	4	2	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	1	2	1	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	2	2	0	1	2	0	1	0	0	2	1	1	0	1	1	0	0	2	14	3	2	1	0	0	1	1	4	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	3	2	1	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	1	1	1	2	0	0	6	0	2	0	1	1	0	0	0	1	0	0	2	1	0	1	2	0	0	8	0	1	0	2	0	0	2	0	0	1	0	0	1	3	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	3	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	3	0	0	2	0	0	0	1	0	2	1	3	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	2	0	0	0	1	1	1	0	0	0	0	1	0	0	3	0	0	0	0	0	7	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	2	0	0	1	2	0	0	4	0	5	4	6	0	0	0	0	0	0	0	0	8	4	0	1	0	2	0	2	1	0	1
flagrantdisregard	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	2	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	3	1	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0
Pharyngula	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	1	3	0	1	0	0	0	0	0	1	0
WIL WHEATON dot NET	0	3	3	2	0	2	1	0	12	0	0	0	0	0	0	4	0	0	10	0	4	0	1	0	9	9	0	9	9	0	1	3	0	0	1	1	0	1	0	2	0	0	5	9	5	1	2	1	4	0	1	2	0	0	0	2	2	0	5	1	0	12	0	0	2	1	0	0	0	8	4	4	0	2	0	8	0	0	2	3	0	3	2	0	2	1	6	0	0	1	0	0	1	0	3	3	1	20	0	5	2	1	0	6	13	4	2	0	0	0	2	5	4	14	0	0	1	4	2	0	1	2	4	2	3	0	6	0	1	0	6	9	0	0	1	2	0	3	3	1	0	6	0	0	1	0	6	3	0	0	0	3	1	2	0	1	5	1	10	0	7	1	1	5	6	8	0	0	19	4	0	1	2	4	0	1	0	2	0	2	0	17	0	0	0	0	0	1	0	0	2	0	0	1	2	6	1	0	3	0	0	0	1	12	0	1	0	5	0	0	0	2	0	1	4	0	0	0	1	6	1	0	0	2	5	2	0	0	1	1	1	1	1	0	0	0	3	1	0	0	5	0	1	0	5	5	0	3	3	3	0	2	0	0	1	0	0	7	0	0	9	2	0	1	4	0	0	0	2	2	1	0	3	3	1	0	0	9	0	0	0	2	0	4	4	9	0	0	0	0	0	2	9	4	1	6	2	0	10	0	5	2	2	0	1	0	2	0	1	1	1	1	18	32	2	1	0	9	2	0	3	9	1	0	7	3	0	29	5	3	0	3	0	1	0	0	3	4	0	0	6	12	5	4	0	9	1	0	19	0	4	4	3	0	0	0	0	6	2	0	3	0	0	1	0	0	0	0	5	4	0	1	0	0	6	1	1	2	3	3	3	5	2	1	0	4	1	4	0	0	0	0	5	1	3	1	1	1	0	0	0	1	6	3	4	0	4	2	1	2	8	0	2	1	1	0	9	5	0	0	0	0	0	1	0	2	0	2	0	6	1	1	0	0	6	0	0	44	0	3	2	7	4	0	0	0	6	1	5	4	1	0	6	4	2	5	9	0	0	2	0	1	1	0	1	6	2	0	1	0	0	4	0	0	0	3	1	0	1	1	4	3	1	0	0	3	1	5	9	0	0	3	5	0	2	2	1	8	0	0	1	0	0	0	1	0	0	0	0	3	0	1	14	2	0	5	0	3	0	8	1	1	0	0	3	0	0	0	1	0	0	0	0	2	1	0	1	4	0	4	7	1	0	0	0	9	5	2	8	14	8	1	1	3	2	0	1	3	3	21	8	24	1	9	0	3	1	1	0
Online Marketing Report	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Creating Passionate Users	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	1	4	0	0	0	2	1	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	3	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	5	3	0	1	0	5	0	1	0	0	1	0	0	0	0	1	0	0	1	2	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0
Bloggers Blog	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	5	0	0	0	0	2	0	0	0	0	0	0	15	15	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0
